380,781,908
88,24,722
179,896,156
484,430,682
426,286,464
82,419,251
159,753,234
77,77,214
217,978,470
32,80,485
11,907,380
230,106,866
225,920,359
42,635,179
550,189,834
689,174,919
809,784,956
518,860,927
314,183,348
269,36,56
853,63,618
491,749,963
756,236,921
942,731,961
324,523,867
426,691,105
254,692,270
679,625,514
199,271,709
809,84,121
51,627,433
728,56,297
424,311,301
254,439,330
363,739,523
859,827,145
391,119,653
445,242,214
963,108,76
696,718,143
684,225,722
188,391,288
985,270,410
399,225,954
398,498,8
120,370,371
587,393,935
885,884,367
890,648,202
754,377,284
878,312,14
168,767,80
572,51,845
781,474,424
990,822,966
10,98,4
618,145,897
595,417,690
45,48,765
861,363,295
377,812,69
835,615,697
141,692,17
88,411,810
649,745,694
21,115,869
303,435,194
162,864,571
585,464,113
381,178,789
421,901,66
238,773,409
137,875,720
497,194,746
700,816,792
201,493,524
192,991,144
147,58,156
980,861,429
884,637,523
102,853,642
683,131,463
697,511,756
635,379,488
654,946,836
783,909,872
531,956,781
352,164,981
99,894,415
340,428,786
998,254,725
946,816,31
220,935,482
589,629,592
999,354,238
688,570,915
109,210,445
28,368,951
504,651,691
728,158,215
